,player_id,player_name,bat_style,bowl_style,field_pos,player_full_name,player_name2,player_image
20,1396,MA Wood,Right hand Bat,Right arm Fast,Not Specifed,Mark Andrew Wood,Mark Andrew,Not Available
21,47,SK Raina,Left hand Bat,Right arm Offbreak,Not Specifed,Suresh Kumar Raina,Suresh Kumar,Not Available
22,1242,R Vinay Kumar,Right hand Bat,Right arm Medium,Not Specifed,Ranganath Vinay Kumar,Ranganath Vinay,Not Available
23,541,SE Marsh,Left hand Bat,Slow Left arm Orthodox,Not Specifed,Shaun Edward Marsh,Shaun Edward,https://cricclubs.com/documentsRep/profilePics/6c5d3a99-b18a-47b6-ba2e-5dae071b3452.png
24,6,Sachin Baby,Left hand Bat,Right arm Offbreak,Not Specifed,Sachin Baby,Sachin Baby,https://www.espncricinfo.com/cricketers/sachin-baby-432783
25,525,J Yadav,Right hand Bat,Right arm Offbreak,Not Specifed,Jayant Yadav,Jayant Yadav,https://www.espncricinfo.com/cricketers/jayant-yadav-447587
26,70,AR Patel,Left hand Bat,Slow Left arm Orthodox,Not Specifed,Axar Rajeshbhai Patel,Axar Rajeshbhai,Not Available
27,63,PP Chawla,Left hand Bat,Legbreak,Not Specifed,Piyush Pramod Chawla,Piyush Pramod,Not Available
28,30,HH Pandya,Right hand Bat,Right arm Medium fast,Not Specifed,Hardik Himanshu Pandya,Hardik Himanshu,Not Available
29,36,SPD Smith,Right hand Bat,Legbreak Googly,Not Specifed,Steven Peter Devereux Smith,Steven Peter,Not Available
30,55,S Kaushik,Right hand Bat,Left arm Wrist spin,Not Specifed,Shivil Kaushik,Shivil Kaushik,Not Available
31,52,P Kumar,Right hand Bat,Right arm Medium,Not Specifed,Praveenkumar Sakat Singh,Praveenkumar Sakat,Not Available
32,41,DL Chahar,Right hand Bat,Right arm Medium,Not Specifed,Deepak Lokandersingh Chahar,Deepak Lokandersingh,Not Available
33,1429,K Khejroliya,Left hand Bat,Left arm Medium fast,Not Specifed,Kulwant Khejroliya,Kulwant Khejroliya,https://www.espncricinfo.com/cricketers/kulwant-khejroliya-1083033
34,32,MJ McClenaghan,Left hand Bat,Left arm Fast medium,Not Specifed,Mitchell John McClenaghan,Mitchell John,Not Available
35,457,AD Mathews,Right hand Bat,Right arm Medium,Not Specifed,Angelo Davis Mathews,Angelo Davis,Not Available
36,1286,Avesh Khan,Right hand Bat,Right arm Fast medium,Not Specifed,Avesh Khan,Avesh Khan,https://www.espncricinfo.com/cricketers/avesh-khan-694211
37,45,JJ Roy,Right hand Bat, ,Not Specifed,Jason Jonathan Roy,Jason Jonathan,Not Available
38,43,AB Dinda,Right hand Bat,Right arm Medium fast,Not Specifed,Ashok Bhimchandra Dinda,Ashok Bhimchandra,Not Available
39,579,Shakib Al Hasan,Left hand Bat,Slow Left arm Orthodox,Not Specifed,Shakib Al Hasan,Shakib Al,Not Available
40,1448,K Gowtham,Right hand Bat,Right arm Offbreak,Not Specifed,Krishnappa Gowtham,Krishnappa Gowtham,Not Available
41,72,DA Miller,Left hand Bat,Right arm Offbreak,Not Specifed,David Andrew Miller,David Andrew,Not Available
42,60,YK Pathan,Right hand Bat,Right arm Offbreak,Not Specifed,Yusuf Khan Pathan,Yusuf Khan,Not Available
43,7,STR Binny,Right hand Bat,Right arm Medium,Not Specifed,Stuart Terence Roger Binny,Stuart Terence,Not Available
44,3,TM Head,Left hand Bat,Right arm Offbreak,Wicketkeeper,Travis Michael Head,Travis Michael,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Travis%20Head.png
45,173,Iqbal Abdulla,Left hand Bat,Slow Left arm Orthodox,Not Specifed,Sayed Iqbal Abdulla,Sayed Iqbal,Not Available
46,15,Yuvraj Singh,Left hand Bat,Slow Left arm Orthodox,Not Specifed,Yuvraj Singh,Yuvraj Singh,Not Available
